Curve,Extension,Force
2,5.35,3.2
2,5.34,3.2
2,5.33,3.2
2,5.32,3.2
2,5.31,3.2
2,5.3,3.2
2,5.29,3.2
2,5.28,3.2
2,5.27,3.25
2,5.26,3.25
2,5.25,3.25
2,5.24,3.25
2,5.23,3.25
2,5.22,3.25
2,5.21,3.25
2,5.2,3.2
2,5.19,3.2
2,5.18,3.2
2,5.17,3.25
2,5.16,3.2
2,5.15,3.2
2,5.14,3.25
2,5.13,3.25
2,5.12,3.25
2,5.11,3.25
2,5.1,3.25
2,5.09,3.25
2,5.08,3.25
2,5.07,3.25
2,5.06,3.3
2,5.05,3.25
2,5.04,3.25
2,5.03,3.25
2,5.02,3.3
2,5.01,3.3
2,5,3.3
2,4.99,3.35
2,4.98,3.35
2,4.97,3.35
2,4.96,3.35
2,4.95,3.35
2,4.94,3.4
2,4.93,3.4
2,4.92,3.4
2,4.91,3.4
2,4.9,3.35
2,4.89,3.35
2,4.88,3.3
2,4.87,3.3
2,4.86,3.35
2,4.85,3.35
2,4.84,3.35
2,4.83,3.35
2,4.82,3.4
2,4.81,3.4
2,4.8,3.4
2,4.79,3.4
2,4.78,3.4
2,4.77,3.4
2,4.76,3.4
2,4.75,3.4
2,4.74,3.4
2,4.73,3.4
2,4.72,3.4
2,4.71,3.4
2,4.7,3.4
2,4.69,3.4
2,4.68,3.4
2,4.67,3.4
2,4.66,3.4
2,4.65,3.4
2,4.64,3.4
2,4.63,3.4
2,4.62,3.4
2,4.61,3.4
2,4.6,3.4
2,4.59,3.4
2,4.58,3.4
2,4.57,3.4
2,4.56,3.4
2,4.55,3.4
2,4.54,3.4
2,4.53,3.4
2,4.52,3.4
2,4.51,3.4
2,4.5,3.4
2,4.49,3.4
2,4.48,3.4
2,4.47,3.4
2,4.46,3.4
2,4.45,3.4
2,4.44,3.4
2,4.43,3.4
2,4.42,3.4
2,4.41,3.4
2,4.4,3.4
2,4.39,3.4
2,4.38,3.4
2,4.37,3.4
2,4.36,3.4
2,4.35,3.4
2,4.34,3.4
2,4.33,3.4
2,4.32,3.4
2,4.31,3.4
2,4.3,3.4
2,4.29,3.4
2,4.28,3.4
2,4.27,3.4
2,4.26,3.4
2,4.25,3.4
2,4.24,3.35
2,4.23,3.35
2,4.22,3.35
2,4.21,3.35
2,4.2,3.35
2,4.19,3.3
2,4.18,3.3
2,4.17,3.3
2,4.16,3.3
2,4.15,3.3
2,4.14,3.3
2,4.13,3.3
2,4.12,3.3
2,4.11,3.3
2,4.1,3.3
2,4.09,3.3
2,4.08,3.25
2,4.07,3.25
2,4.06,3.25
2,4.05,3.25
2,4.04,3.3
2,4.03,3.25
2,4.02,3.25
2,4.01,3.3
2,4,3.3
2,3.99,3.3
2,3.98,3.25
2,3.97,3.25
2,3.96,3.25
2,3.95,3.25
2,3.94,3.25
2,3.93,3.25
2,3.92,3.25
2,3.91,3.25
2,3.9,3.25
2,3.89,3.25
2,3.88,3.25
2,3.87,3.25
2,3.86,3.25
2,3.85,3.25
2,3.84,3.25
2,3.83,3.25
2,3.82,3.25
2,3.81,3.25
2,3.8,3.25
2,3.79,3.25
2,3.78,3.25
2,3.77,3.25
2,3.76,3.25
2,3.75,3.25
2,3.74,3.25
2,3.73,3.25
2,3.72,3.25
