Test,result,spec lower,spec upper,range,to lower,to upper,% from lim,% from lim up,closest_to_spec
gap creation,1.202,1.05,2.5,1.45,0.152,1.298,10.5,89.5,0.105
gap creation,2.595,1.05,2.5,1.45,1.545,-0.095,106.6,-6.6,-0.066
gap creation,2.212,1.05,2.5,1.45,1.162,0.288,80.1,19.9,0.199
gap creation,2.751,1.05,2.5,1.45,1.701,-0.251,117.3,-17.3,-0.173
gap creation,1.2,1.05,2.5,1.45,0.15,1.3,10.3,89.7,0.103
gap creation,1.361,1.05,2.5,1.45,0.311,1.139,21.4,78.6,0.214
gap creation,2.194,1.05,2.5,1.45,1.144,0.306,78.9,21.1,0.211
gap creation,2.091,1.05,2.5,1.45,1.041,0.409,71.8,28.2,0.282
gap creation,1.927,1.05,2.5,1.45,0.877,0.573,60.5,39.5,0.395
gap creation,2.105,1.05,2.5,1.45,1.055,0.395,72.8,27.2,0.272
gap creation,1.722,1.05,2.5,1.45,0.672,0.778,46.3,53.7,0.463
gap creation,2.46,1.05,2.5,1.45,1.41,0.04,97.2,2.8,0.028
gap creation,1.877,1.05,2.5,1.45,0.827,0.623,57,43,0.43
gap creation,4.261,1.05,2.5,1.45,3.211,-1.761,221.4,-121.4,-1.214
gap creation,3.041,1.05,2.5,1.45,1.991,-0.541,137.3,-37.3,-0.373
gap creation,1.517,1.05,2.5,1.45,0.467,0.983,32.2,67.8,0.322
gap creation,2.411,1.05,2.5,1.45,1.361,0.089,93.9,6.1,0.061
gap creation,0.215,1.05,2.5,1.45,-0.835,2.285,-57.6,157.6,-0.576
gap creation,1.489,1.05,2.5,1.45,0.439,1.011,30.3,69.7,0.303
gap creation,1.862,1.05,2.5,1.45,0.812,0.638,56,44,0.44
gap creation,2.019,1.05,2.5,1.45,0.969,0.481,66.8,33.2,0.332
gap creation,1.958,1.05,2.5,1.45,0.908,0.542,62.6,37.4,0.374
gap creation,1.887,1.05,2.5,1.45,0.837,0.613,57.7,42.3,0.423
gap creation,2.223,1.05,2.5,1.45,1.173,0.277,80.9,19.1,0.191
gap creation,1.536,1.05,2.5,1.45,0.486,0.964,33.5,66.5,0.335
gap creation,1.71,1.05,2.5,1.45,0.66,0.79,45.5,54.5,0.455
gap creation,2.151,1.05,2.5,1.45,1.101,0.349,75.9,24.1,0.241
gap creation,1.84,1.05,2.5,1.45,0.79,0.66,54.5,45.5,0.455
gap creation,1.523,1.05,2.5,1.45,0.473,0.977,32.6,67.4,0.326
gap creation,1.691,1.05,2.5,1.45,0.641,0.809,44.2,55.8,0.442
